Distributor;Code;DistributorScm
PT. WAHANA BOGA NUSANTARA - BALI;2000000375;WBN - BALI
PT. CAHAYA INTI PUTRA SEJAHTERA - BANDUNG;2000073047;CIPS -  BDG
PT. JERINDO JAYA ABADI - SURABAYA;2000133210;JERINDO JAYA ABADI - SBY
PT. ANUGRAH BERKAT ANDA - MEDAN;2000117190;PT. ANUGRAH BERKAT ANDA -  MEDAN
PT. SINAR ANUGERAH REJEKI BERSAMA - MAKASSAR;2000072857;SINAR ANUGRAH REJEKI BERSAMA - MKSR
PT. INDODAIRY CONTINENTAL - MEDAN;2000001539;PT. INDODAIRY CONTINENTAL
PT. SURYA ANUGRAH SENTOSA;2000147459;SURYA ANUGRAH SENTOSA - BOGOR
CV. JARI PERKASA;2000144052;JARI PERKASA - BALI
PT. CATUR SENTOSA ANUGERAH - CENGKARENG;2000160149;PT. CATUR SENTOSA ANUGERAH - CENGKARENG
PT. CAHAYA AGUNG CEMERLANG - SEMARANG;2000085648;CAC - SMRG
PT. MARTINDO FINE FOODS;2000121056;MARTINDO BATAM
PT. PULAU BARU JAYA - BANJARMASIN;2000111661;PULAU BARU - BANJARMASIN
PT. SINAR ANUGERAH REJEKI BERSAMA - MANADO;2000083688;SINAR ANUGRAH REJEKI BERSAMA - SARB MANADO
PT. MENARA NUSANTARA PERSADA - PALEMBANG;2000163790;PT MENARA NUSANTARA PERSADA - PALEM
PT. PULAU BARU MANDIRI - SAMARINDA;2000160185;PT. PULAU BARU MANDIRI - SAMARINDA
PT. EKAPUTRA PRADA INDONESIA;2000131291;EKAPUTRA PRADA - PKU
PT. EINGANG HARAPAN INDAH;2000098449;EIH - PONTI
PT. DINETA JAYA;2000132261;DINETA JAYA LOMBOK
PT. TIGA MUTIARA PRIMA;2000085669;TMP- SOLO
PT. MASUYA GRAHA TRIKENCANA;2000085647;PT. MASUYA GRAHA TRIKENCANA
PT. JERINDO JAYA ABADI - MALANG;1C00526;JERINDO JAYA ABADI - MLG
PT. COLAMASS SUKSES MANDIRI;2000160187;PT. COLAMAS INDAH SEJATI - BATAM
PT. SINAR MAYURI;2000117192;PT. SINAR MAYURI - DENPASAR
PT. BARU INDAH;2000098357;PT. BARU INDAH - BALIKPAPAN
PT. WIRA EKA PERSADATAMA - MAKASSAR;2000166451;WIRA EKA PERSADATAMA MAKASSAR
PT. CATUR SENTOSA ANUGERAH - BANDUNG;2000117200;PT. CATUR SENTOSA ANUGERAH - BANDUNG
PT. SARI MAKMUR SANJAYA;1009PALAGAN;SMS - JOGJA
PT. SINAR ANUGERAH REJEKI BERSAMA - KENDARI;2000136100;SINAR ANUGRAH REJEKI BERSAMA - KENDARI
PT. CAHAYA INTI PUTRA SEJAHTERA - CIREBON;2200001796;CIPS -  CIREBON
PT. UNI GEMILANG SENTOSA;2000153520;PT. UNIGEMILANG SENTOSA - JKT
PT. CAHAYA LESTARI TEGUH MAKMUR;2000161985;PT CAHAYA LESTARI TEGUH MAKMUR - LAMPUNG
PT. CATUR SENTOSA ANUGERAH - LAMPUNG;2000160161;PT. CATUR SENTOSA ANUGERAH - PEKANBARU
PT. KURNIA MAJU PERKASA;2000161947;PT. KURNIA MAJU PERKASA - PADANG & PT. KURNIA MAJU PERKASA - BUKIT TINGGI
