account_name;accountCap
INDOMARET;INDOMARET
OTHER - CAFE;OTHER FOOD SERVICE
ALFAMART;ALFAMART
KOPI KENANGAN;KOPI KENANGAN
LION;LION
OTHER - RESTAURANT;OTHER FOOD SERVICE
STARBUCKS;STARBUCKS
OTHER - AGENT;OTHER FOOD SERVICE
GENERAL TRADE;GENERAL TRADE
ALFAMIDI;ALFAMIDI
OTHER - BAKERY;OTHER FOOD SERVICE
HYPERMART;HYPERMART
INDOMARET POIN;INDOMARET POIN
MTI B EAST INDONESIA;MTI B
ASTRONOUT;ASTRONOUT
MTI B EAST JAVA & BALNUS;MTI B
GRAND LUCKY;GRAND LUCKY
OTHER - PUBLIC SERVICES;OTHER FOOD SERVICE
MTI B NORTHERN SUMATRA;MTI B
MTI B SOUTHERN SUMATRA;MTI B
YOGYA;YOGYA
FRESH FACTORY;FRESH FACTORY
BRASTAGI;BRASTAGI
FARMERS MARKET;FARMERS MARKET
OTHER - BUBBLE DRINK;OTHER FOOD SERVICE
OTHER - HOTEL;OTHER FOOD SERVICE
PEPITO;PEPITO
AEON;AEON
YUMMY FOOD;YUMMY FOOD
MTI B WEST JAVA & CENTRAL JAVA;MTI B
LOTTE SHOPPING;LOTTE SHOPPING
BEARD PAPA;BEARD PAPA
WARUNG NAKO;WARUNG NAKO
LOTTE MART;LOTTE MART
OTHER - PRIBADI;OTHER FOOD SERVICE
DIAMOND;DIAMOND
OTHER - DESSERT;OTHER FOOD SERVICE
FOODHALL;FOODHALL
OTHER - CATERING;OTHER FOOD SERVICE
HERO;HERO
RANCH MARKET;RANCH MARKET
HOKKY;HOKKY
TIP TOP;TIP TOP
PAPAYA;PAPAYA
CHATIME;CHATIME
SATU SAMA;MTI A - OTHERS
HARI HARI;HARI HARI
MTI B GREATER JAKARTA;MTI B
HOME DELIVERY;HOME DELIVERY
BORMA;BORMA
OTHER E-COMMERCE;OTHER E-COMMERCE
TOP SERATUS;TOP SERATUS
MTI B JABODETABEK;MTI B
SUZUYA;MTI A - OTHERS
FAMILY MART;FAMILY MART
TIARA;TIARA
NAGA;MTI A - OTHERS
% ARABICA;OTHER FOOD SERVICE
ES TEH INDONESIA;ES TEH INDONESIA
FRESTIVE;FRESTIVE
JCO;JCO
UNION GROUP;UNION GROUP
TOTAL BUAH;TOTAL BUAH
BINTANG;MTI A - OTHERS
