distributor;customer_code;customer_name;fss_code;fss_name;fss_type;sales_executive;fresh_dry;rsm
DIRECT;2000000366;PT. MIDI UTAMA INDONESIA, Tbk;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000000366;PT. MIDI UTAMA INDONESIA, Tbk;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000000372;PT. MATAHARI PUTRA PRIMA, Tbk;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000000372;PT. MATAHARI PUTRA PRIMA, Tbk;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000000374;PT. PANGANSARI UTAMA FOOD DISTRIBUTIONS;SURABAYA B2B;Dwi Hendrianto;B2B;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000000376;PT. INDOMARCO PRISMATAMA - MALANG;MALANG B2C;Ujang Suryana;B2C;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000000376;PT. INDOMARCO PRISMATAMA - MALANG;MALANG B2C;Ujang Suryana;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000000377;PT. INDOMARCO PRISMATAMA - SURABAYA;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000000377;PT. INDOMARCO PRISMATAMA - SURABAYA;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000000503;ALFAMIDI BEKASI;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000000503;ALFAMIDI BEKASI;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000000883;Dunkin Donut;B2B JABO 1;Maulana Yusuf;B2B;Tommy Toga Raja Sirait;Dry;Muhammad Haeruddin
DIRECT;2000000960;GELAEL MT HARYONO;B2C JABO 2;Gandhi Sandrya;B2C;Eliyanti;Fresh;Muhammad Haeruddin
DIRECT;2000001177;Hypermart Cimanggis;COMBINE JABAR 1;Hardian Pramana;COMBINED;Vacant;Fresh;Muhammad Haeruddin
DIRECT;2000001220;Indomaret Dc Ancol;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000001220;Indomaret Dc Ancol;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000001221;Indomaret Dc Sentul;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000001221;Indomaret Dc Sentul;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000001235;Indomaret Parung, Dc;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000001235;Indomaret Parung, Dc;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000001315;Kitchenette Senayan City;B2B JABO 2;Ferry Silaban;B2B;Elis Dewi Rochmani;Fresh;Muhammad Haeruddin
DIRECT;2000001370;Lion Dc Cikarang;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000001370;Lion Dc Cikarang;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000001534;FAMILYMART CIMANGGIS;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000001541;INDOMARET JABABEKA;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000001541;INDOMARET JABABEKA;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000004332;ALFAMIDI DC JABABEKA;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;FRESH;Muhammad Haeruddin
DIRECT;2000005893;CARREFOUR CBD PLUIT;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000005895;CARREFOUR CEMPAKA PUTIH STORE;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000007526;Indomaret Dc Ukanik;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000007526;Indomaret Dc Ukanik;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000026615;INDOMART BDG (S12K);B2C BANDUNG 1;Ilham Pradana;B2C;Vacant;Dry;Muhammad Haeruddin
DIRECT;2000026615;INDOMART BDG (S12K);B2C BANDUNG 1;Ilham Pradana;B2C;Vacant;Fresh;Muhammad Haeruddin
DIRECT;2000060940;JCO DONUTS PIM;B2B JABO 1;Maulana Yusuf;B2B;Reynold;Dry;Muhammad Haeruddin
DIRECT;2000064296;PT. INDOMARCO PRISMATAMA GD INDUK T;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000064296;PT. INDOMARCO PRISMATAMA GD INDUK T;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000066984;PT.BAKTIABADI INTIMAKMUR;B2B JABO 1;Maulana Yusuf;B2B;Tommy Toga Raja Sirait;Dry;Muhammad Haeruddin
DIRECT;2000068459;ALFAMART DC BALARAJA;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000068459;ALFAMART DC BALARAJA;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000074596;ALFAMIDI BITUNG TANGERANG;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000074596;ALFAMIDI BITUNG TANGERANG;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000079448;PT.INDOMARCO PRISMATAMA DC JEMBER;JEMBER;Ardiyan Firdaus;COMBINED;No Salesman;Fresh;Yudi Setiawan
DIRECT;2000079448;PT.INDOMARCO PRISMATAMA DC JEMBER;JEMBER;Ardiyan Firdaus;COMBINED;No Salesman;Dry;Yudi Setiawan
DIRECT;2000079451;PT. INDOMARCO PRISMATAMA DC GRESIK;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000079451;PT. INDOMARCO PRISMATAMA DC GRESIK;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000079453;INDOMARET DC BALI;BALI B2C Fresh + Bajo;Gede Andika Saputera;COMBINED;No Salesman;Fresh;Arif Permadi
DIRECT;2000079453;INDOMARET DC BALI;BALI B2C Dry + Kupang;I Made Ogi Trisna Wardana;B2C;No Salesman;Dry;Arif Permadi
DIRECT;2000080510;ALFAMART CIKOKOL;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000080510;ALFAMART CIKOKOL;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000080511;ALFAMART JABABEKA;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000080511;ALFAMART JABABEKA;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000080512;ALFAMART CILENGSI 2;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000080515;DC ALFAMART KARAWANG;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000080515;DC ALFAMART KARAWANG;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000080516;DC ALFAMART BOGOR;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000080521;ALFAMART PARUNG;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000085497;INDOMARET CAB. YOGYA;YOGYAKARTA B2C;Raditya Mirza Bagaskara;B2C;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000085497;INDOMARET CAB. YOGYA;YOGYAKARTA B2C;Raditya Mirza Bagaskara;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000085498;INDOMARET GUDANG SEMARANG;SEMARANG;Desti Yanuwanti;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000085498;INDOMARET GUDANG SEMARANG;SEMARANG;Desti Yanuwanti;COMBINED;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000085592;ALFAMART KLATEN;SOLO;Pradana Satriya Kurniawan Ramdani;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000085592;ALFAMART KLATEN;SOLO;Pradana Satriya Kurniawan Ramdani;COMBINED;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000085593;ALFAMART SEMARANG;SEMARANG;Desti Yanuwanti;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000087320;HPM SINGKAWANG;0;NO FSS;B2C;No Salesman;Fresh;Arif Permadi
DIRECT;2000087330;HPM Palopo;0;NO FSS;B2C;No Salesman;Fresh;Arif Permadi
DIRECT;2000087338;HPM KAIRAGI MANADO;0;NO FSS;B2C;No Salesman;Fresh;Arif Permadi
DIRECT;2000087717;TRANSMART CILANDAK;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000087718;INDOMARET DEPO BGR 2;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000087718;INDOMARET DEPO BGR 2;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000095083;ALFAMART SAT SERANG;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000109018;INDOMARET DC ANCOL JAKARTA 2;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000109018;INDOMARET DC ANCOL JAKARTA 2;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000125458;INDOMARET DC PURWAKARTA;B2C BANDUNG 1;Ilham Pradana;B2C;Vacant;Fresh;Muhammad Haeruddin
DIRECT;2000125458;INDOMARET DC PURWAKARTA;B2C BANDUNG 1;Ilham Pradana;B2C;Vacant;Dry;Muhammad Haeruddin
DIRECT;2000125460;INDOMARET DC JOMBANG;KEDIRI + MADIUN + JOMBANG;Arief Rachmat;COMBINED;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000125460;INDOMARET DC JOMBANG;KEDIRI + MADIUN + JOMBANG;Arief Rachmat;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000125462;INDOMARET DC CIREBON;COMBINE JABAR 2;Rahmat Kamil;COMBINED;Vacant;Dry;Muhammad Haeruddin
DIRECT;2000125462;INDOMARET DC CIREBON;COMBINE JABAR 2;Rahmat Kamil;COMBINED;Vacant;Fresh;Muhammad Haeruddin
DIRECT;2000130253;ALFAMART MALANG;MALANG B2C;Ujang Suryana;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000130253;ALFAMART MALANG;MALANG B2C;Ujang Suryana;B2C;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000130261;ALFAMART BALI;BALI B2C Dry + Kupang;I Made Ogi Trisna Wardana;B2C;No Salesman;Dry;Arif Permadi
DIRECT;2000130262;ALFAMART BANDUNG 1;B2C BANDUNG 2;Dede Rukmana;B2C;Vacant;Fresh;Muhammad Haeruddin
DIRECT;2000130262;ALFAMART BANDUNG 1;B2C BANDUNG 2;Dede Rukmana;B2C;Vacant;Dry;Muhammad Haeruddin
DIRECT;2000130263;ALFAMART BANDUNG 2;B2C BANDUNG 2;Dede Rukmana;B2C;Vacant;Dry;Muhammad Haeruddin
DIRECT;2000130264;ALFAMART CIANJUR;COMBINE JABAR 1;Hardian Pramana;COMBINED;Vacant;Dry;Muhammad Haeruddin
DIRECT;2000130264;ALFAMART CIANJUR;COMBINE JABAR 1;Hardian Pramana;COMBINED;Vacant;Fresh;Muhammad Haeruddin
DIRECT;2000130265;ALFAMART CILACAP;YOGYAKARTA B2C;Raditya Mirza Bagaskara;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000130266;ALFAMART JEMBER;JEMBER;Ardiyan Firdaus;COMBINED;No Salesman;Dry;Yudi Setiawan
DIRECT;2000130267;ALFAMART PLUMBON;COMBINE JABAR 2;Rahmat Kamil;COMBINED;Vacant;Dry;Muhammad Haeruddin
DIRECT;2000130268;ALFAMART REMBANG;SEMARANG;Desti Yanuwanti;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000130268;ALFAMART REMBANG;SEMARANG;Desti Yanuwanti;COMBINED;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000130269;ALFAMART SIDOARJO;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000130269;ALFAMART SIDOARJO;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000130489;ALFAMART DEPO BALARAJA;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
