NO,Item,Harga
1,ESL FC RP 950 ML,31890
2,ESL STR 950 ml,31890
3,ESL Chocomalt 950 ml,31890
4,ESL Caffe Latte 950 ml,31890
5,ESL Belgian Choco 950 ml,33790
6,ESL SK RP 950 ml,34790
7,ESL LF RP 950 ml,31890
8,Jersey 950 ml,41090
9,UHT Chocolate 950 ml,23990
10,UHT FC RP 950 ml,23990
11,UHT LF RP 950 ml,24990
12,UHT SK RP 950 ml,25490
13,Yogurt Drink Ori,9590
14,Yogurt Drink Blueberry,9590
15,Yogurt Drink Str,9590
16,Yogurt Drink Lychee,9590
17,Yogurt Drink Mango,9590
18,Yogurt Str 125 gr,16790
19,Yogurt Ori 125 gr,16990
20,Yogurt Mango 125 gr,16790
21,Yogurt Blueberry 125 gr,16790
22,Yogurt Plain 500 gr,49090
23,Yogurt Original 500 gr,49090
