btp;desc
2300016055;TRSF E-BANKING CR 0101/FTSCY/WS95031 455520.00 1222462824 HARDI PUTRA MUHARR 
2300015124;TRSF E-BANKING CR 0101/FTSCY/WS95051 683280.00 champaca 7078859 PRO PAWON MILLENIA 
2300009802;TRSF E-BANKING CR 0201/FTSCY/WS95051 455520.00 BROOKLYN BOGA UTAM 
2300003919;TRSF E-BANKING CR 0201/FTSCY/WS95051 8311260.00 PANCIOUS TIRTA JAY 
2300004601;TRSF E-BANKING CR 0201/FTSCY/WS95011 5921760.00 SUSU SKUTKOPI DESEMBER HAFMI ADITHYO RAMA 
2300011084;TRSF E-BANKING CR 0201/FTSCY/WS95051 219114.00 YOGURT SMB SUPER TEA INDONESI 
2300004601;TRSF E-BANKING CR 0201/FTSCY/WS95031 4555200.00 Susu kolepa HAFMI ADITHYO RAMA 
2300015504;TRSF E-BANKING CR 0201/FTSCY/WS95051 3416400.00 3/11, 11/11, 20/11 V coffee VICTORY INDONESIA 
2300015465;TRSF E-BANKING CR 0201/FTSCY/WS95051 1138800.00 CIRANJANG MAJU TER 
2300014507;TRSF E-BANKING CR 0201/FTSCY/WS95051 2049840.00 MASAK MAJU TERUS P 
2300005175;TRSF E-BANKING CR 0201/FTSCY/WS95051 683280.00 5222348527 FAJAR JAYA LENTERA 
2300008696;TRSF E-BANKING CR 0201/FTSCY/WS95051 1366560.00 invv 26 n 28 des ANUGRAH KOFFIE NUS 
2300001838;TRSF E-BANKING CR 0201/FTSCY/WS95051 554064.00 LIM FIE TJONG 
2300015204;TRSF E-BANKING CR 0201/FTSCY/WS95051 665988.00 faktur 20des NAKAMA TUMBUH BERS 
2300015366;TRSF E-BANKING CR 0201/FTSCY/WS95051 455520.00 N7082948 Fresh Milk 2x12lt SELARAS ROEMAH KOP 
2300000215;TRSF E-BANKING CR 0201/FTSCY/WS95051 1822080.00 INV Tgl 29 Nov & 07 Des'23 GLORIA PRIMA CV 
2300007958;TRSF E-BANKING CR 0201/FTSCY/WS95011 455520.00 7047611 JEFFRI SE 
2300014094;TRSF E-BANKING CR 0201/FTSCY/WS95011 455520.00 GF fresh 2dus 3jan 2024 RONNY YULIADY 
2300008125;TRSF E-BANKING CR 0201/FTSCY/WS95011 341992.00 N7047175 BCA MIM N7047176 LIA PURBASARI ATAU 
2300014498;TRSF E-BANKING CR 0201/FTSCY/WS95031 455520.00 ARCH COFFEE RESTO CENDANA RASYID BUDI RAMADH 
2300016087;TRSF E-BANKING CR 0201/FTSCY/WS95031 2277600.00 160.S6269214 TJING SIN PIN 
2300016087;TRSF E-BANKING CR 0201/FTSCY/WS95031 2277600.00 160.S6278635 TJING SIN PIN 
2300013940;TRSF E-BANKING CR 0201/FTSCY/WS95031 455520.00 INV 522264568 FATMA AULIASARI 
2300014948;TRSF E-BANKING CR 0201/FTSCY/WS95051 683280.00 KITA BUGAR SEHAT P 
2300012942;TRSF E-BANKING CR 0201/FTSCY/WS95051 911040.00 Inv 5222361261 PAWON BOGA INTERNU 
2300010537;TRSF E-BANKING CR 0201/FTSCY/WS95031 1360566.00 pbyrannsusu senopa ti DIAH FITRIYANI 
2300015907;TRSF E-BANKING CR 0201/FTSCY/WS95031 455520.00 Charisma Cafe FAJAR SETYAWAN 
2300016160;TRSF E-BANKING CR 0201/FTSCY/WS95031 455520.00 Hangout Salihara ARUMFADILLAH R A 
2300010670;TRSF E-BANKING CR 0201/FTSCY/WS95011 683280.00 85319 Kalijodo YENTI 
2300008336;TRSF E-BANKING CR 0301/FTSCY/WS95031 1366560.00 N6877970 ANDRE KURNIAWAN KU 
2300015756;TRSF E-BANKING CR 0301/FTSCY/WS95051 1366560.00 Inv N7052806 fr AHP ASSEGAF HAMZAH & P 
2300011501;TRSF E-BANKING CR 0301/FTSCY/WS95031 1822080.00 Platon inv N706811 5,27Des23 ARIE DALIMARTHA 
2300016191;TRSF E-BANKING CR 0301/FTSCY/WS95051 455520.00 Resto Buntut Gajah inv tgl 28/12/23 GAJAH MAKMUR SEJAH 
2300015463;TRSF E-BANKING CR 0301/FTSCY/WS95271 911040.00 brg dikirim tgl 22 , 27 des ANITA MAGDALENA SE 
2300010747;TRSF E-BANKING CR 0301/FTSCY/WS95051 523609.00 Ingredients N7026502 NG SIOE HOH 
2300007505;TRSF E-BANKING CR 0301/FTSCY/WS95051 6518040.00 KOKUMINDO BERKAT M 
2300014763;TRSF E-BANKING CR 0301/FTSCY/WS95031 455520.00 portos bakery inv. N7089110 DAVID TANTRIS OR F 
2300009141;TRSF E-BANKING CR 0301/FTSCY/WS95051 2277600.00 MULTI KREASI CITA 
2300012545;TRSF E-BANKING CR 0301/FTSCY/WS95051 4764990.00 20 NOV - 4 DES YUDITAMA MANDIRI P 
2300014965;TRSF E-BANKING CR 0301/FTSCY/WS95051 683280.00 N6997737 ALFRED BOGA LESTAR 
2300005369;TRSF E-BANKING CR 0301/FTSCY/WS95051 98863247.00 INV.318,320,321,32 2 PCP JBOH PROTEINDOTAMA CIPT 
2300005369;TRSF E-BANKING CR 0301/FTSCY/WS95051 211518167.00 KWT.2593-0838 PCP JBOH PROTEINDOTAMA CIPT 
2300005369;TRSF E-BANKING CR 0301/FTSCY/WS95051 37720508.00 INV.9258 SD 61307 PCP JBOH PROTEINDOTAMA CIPT 
2300012283;TRSF E-BANKING CR 0301/FTSCY/WS95031 227760.00 FM HLMOI 22 DES EVAN LAUREN 
2300013137;TRSF E-BANKING CR 0301/FTSCY/WS95051 1138800.00 greenfields VS202401030001 SUMBER CAHAYA SUKS 
2300012283;TRSF E-BANKING CR 0301/FTSCY/WS95031 227760.00 FM HLMOI 30 DES EVAN LAUREN 
2300010951;TRSF E-BANKING CR 0301/FTSCY/WS95051 1366560.00 5222361307 GORDI KREASI INDON 
2300015194;TRSF E-BANKING CR 0301/FTSCY/WS95051 1138800.00 inv K002000009320 KN palmerah PT ARYANDA YASA UN 
2300005275;TRSF E-BANKING CR 0301/FTSCY/WS95051 9247446.00 S/O 1222432198-99 PP/2318 MULIA BOGA INDUSTR 
2300005275;TRSF E-BANKING CR 0301/FTSCY/WS95051 227760.00 S/O 1222432803 PP/2322 MULIA BOGA INDUSTR 
2300012532;TRSF E-BANKING CR 0301/FTSCY/WS95271 455520.00 2 Karton Mustly 2 Januari 2024 LISA SUHARGO 
2300011636;TRSF E-BANKING CR 0301/FTSCY/WS95031 227760.00 dlafaveli n7089148 FELICIA EVELIN 
2000151267;TRSF E-BANKING CR 0301/FTSCY/WS95271 455520.00 Kopi Kesayangan TANTRY ANDIANTO 
2300015698;TRSF E-BANKING CR 0301/FTSCY/WS95051 2450820.00 Mggu Ke 1 COPAS SUKSES GEMIL 
2300007941;TRSF E-BANKING CR 0401/FTSCY/WS95051 277200.00 EG 26DEC23 ESA GENANGKU CV 
2300008046;TRSF E-BANKING CR 0401/FTSCY/WS95031 455520.00 workaholipeony so no 1222432228 SHENNY LISSACAGO C 
2300008046;TRSF E-BANKING CR 0401/FTSCY/WS95031 455520.00 Workaholi peony so no 1222462381 SHENNY LISSACAGO C 
2300009646;TRSF E-BANKING CR 0401/FTSCY/WS95031 455520.00 freshmilk 2 box 29 des SULISTYO 
2300009646;TRSF E-BANKING CR 0401/FTSCY/WS95031 227760.00 freshmilk 1 box 3 jan 24 SULISTYO 
2300007504;TRSF E-BANKING CR 0401/FTSCY/WS95011 683982.00 BCA TOMANG RAYA K002000009352 ARI ADITYA P/DWI N 
2300008562;TRSF E-BANKING CR 0401/FTSCY/WS95011 911040.00 Onezo Moi 2 jan 2024 IVANA SANJAYA 
2300007163;TRSF E-BANKING CR 0401/FTSCY/WS95051 7459200.00 SALAD SEGAR LESTAR 
2300014920;TRSF E-BANKING CR 0401/FTSCY/WS95031 683280.00 Piezo IRMA MUSTIKA 
2300007504;TRSF E-BANKING CR 0401/FTSCY/WS95031 68400.00 030124 BCATOM 3 NADYA TUSSALEHA 
2300007504;TRSF E-BANKING CR 0401/FTSCY/WS95031 68400.00 030124 BCATOM2 NADYA TUSSALEHA 
2300007077;TRSF E-BANKING CR 0401/FTSCY/WS95031 1822080.00 susu greenfield KU PINIMA VERAWATI 
2300013203;TRSF E-BANKING CR 0401/FTSCY/WS95031 911040.00 ARLEN VERTA RAMADH 
2300015871;TRSF E-BANKING CR 0401/FTSCY/WS95051 2733120.00 879182 KAYSERINDO KULINER 
2300015044;TRSF E-BANKING CR 0401/FTSCY/WS95271 455250.00 RAMADANA GUNA PRAK 
2300012978;TRSF E-BANKING CR 0401/FTSCY/WS95271 138977356.00 Okaje O KONG JUNG 
2300015473;TRSF E-BANKING CR 0401/FTSCY/WS95031 1366560.00 N7063428 N7083010 N7086871 GERRY BALDY PALGUN 
2300004546;TRSF E-BANKING CR 0401/FTSCY/WS95051 1080917.00 No. 5222359313, 61 674, 61806, 63869 KOPKAR JAPFA COMFE 
2300004546;TRSF E-BANKING CR 0401/FTSCY/WS95051 855086.00 No. 5222365222, 63 97, 6776 KOPKAR JAPFA COMFE 
2300015929;TRSF E-BANKING CR 0401/FTSCY/WS95051 455520.00 nota tgl 9/12 KLAPAMANIS ANDRAWI 
2300014659;TRSF E-BANKING CR 0401/FTSCY/WS95271 3644160.00 N7006105,N7039334, N7077527,N7077523 MUHAMMAD ZIDANY RA 
2300003709;TRSF E-BANKING CR 0401/ACSCY/WS95051 00566211389 20240104 08734 FOODS BEVERAGES IN 
2300011016;TRSF E-BANKING CR 0401/FTSCY/WS95051 529164.00 Susu 4/1 ALEX GERALDO 
2300011571;TRSF E-BANKING CR 0401/FTSCY/WS95051 9793680.00 FS KHWA DES 23 KHWA COFFEE INDONE 
2300010670;TRSF E-BANKING CR 0401/FTSCY/WS95011 1366560.00 98486 kalijodo YENTI 
2300015718;TRSF E-BANKING CR 0401/FTSCY/WS95271 5352300.00 TAN A TIE 
2300011220;TRSF E-BANKING CR 0401/FTSCY/WS95011 683280.00 inv K002000009506 KN slipi ZAGHI MUHAMMAD NOA 
2300004999;TRSF E-BANKING CR 0501/FTSCY/WS95051 7971600.00 GREENFIELDS 8 INVOICE CIPTA RETAIL PRAKA 
2300011281;TRSF E-BANKING CR 0501/FTSCY/WS95031 683280.00 Susu HPC HENDRA PERMANA 
2300011464;TRSF E-BANKING CR 0501/FTSCY/WS95031 14497487.00 STEPHANIE 
2300011444;TRSF E-BANKING CR 0501/ATSCY/WS95051 REF:24010400188501 MOZARELLA CHEESE B CK SINAR RASA ABADI P 
2300008125;TRSF E-BANKING CR 0501/FTSCY/WS95011 683985.00 BCA CYB N7099191 N7099192 MARIA ROSA I/FARAH 
2300008649;TRSF E-BANKING CR 0501/FTSCY/WS95051 4099680.00 o8sDD1 DPOD Odeli ce Cafe 170436087 SINAR DIGITAL TERD 
2300012944;TRSF E-BANKING CR 0501/FTSCY/WS95051 911040.00 N7058418 CIPTA PENEGAS BALI 
2300014912;TRSF E-BANKING CR 0501/FTSCY/WS95051 455520.00 Dua Bintaro DUA NUBOGA NUSANTA 
2300012849;TRSF E-BANKING CR 0501/FTSCY/WS95051 1138800.00 1222461645 944/NGJKT/XII/2023 BERAWAL DARI KOPI 
2300012849;TRSF E-BANKING CR 0501/FTSCY/WS95051 911040.00 1222467824 954/NGJKT/I/2024 BERAWAL DARI KOPI 
2300014912;TRSF E-BANKING CR 0501/FTSCY/WS95051 1822080.00 Dua Tebet DUA NUBOGA NUSANTA 
2300012567;TRSF E-BANKING CR 0501/FTSCY/WS95051 683280.00 SO 1222467078 RUMAH KOPI PAPOWI 
2300012899;TRSF E-BANKING CR 0501/FTSCY/WS95031 455520.00 2 dus susu warkopn aikkelaskotwis VERONICA AYURETNO 
2300003807;TRSF E-BANKING CR 0501/FTSCY/WS95051 2277600.00 TT 21119, 21133 GREEN F, MKO CTS GRAHA KOPI JAYA PT 
2300012975;TRSF E-BANKING CR 0501/FTSCY/WS95051 6149520.00 susu desember MITRA GENERASI BOG 
2300003666;TRSF E-BANKING CR 0501/FTSCY/WS95051 1203450.00 PIQUANT INDONESIA 
2300007318;TRSF E-BANKING CR 0501/FTSCY/WS95031 455520.00 RONALDO 
2300008940;TRSF E-BANKING CR 0501/FTSCY/WS95051 2049840.00 N6843392&6842964 OP/23/11/0033&34&4 GRAM INDONESIA PRA 
2300016175;TRSF E-BANKING CR 0501/FTSCY/WS95051 455520.00 Sugoi Serpong 2 Karton FM SUGOI AH CV 
2300015186;TRSF E-BANKING CR 0501/FTSCY/WS95051 455520.00 Inv 4371,7911 des Susu Murni 12,23 ARTA ARSANA ARKA P 
2300001280;TRSF E-BANKING CR 0501/FTSCY/WS95051 4555200.00 INV. 6962030 + 6984114 OPAL COFFEE INDONE 
2300015585;TRSF E-BANKING CR 0501/FTSCY/WS95051 2960880.00 7027452 MATTEA MAJU BERSAM 
2300008696;TRSF E-BANKING CR 0801/FTSCY/WS95051 683280.00 inv 3 jan ANUGRAH KOFFIE NUS 
2300000066;TRSF E-BANKING CR 0801/FTSCY/WS95051 1359266.00 00055533 00055534 TAN HUNG SUAN 
2300015465;TRSF E-BANKING CR 0801/FTSCY/WS95051 636030.00 CIRANJANG MAJU TER 
2300014507;TRSF E-BANKING CR 0801/FTSCY/WS95051 3321100.00 MASAK MAJU TERUS P 
2300011102;TRSF E-BANKING CR 0801/FTSCY/WS95031 9110000.00 5 Jan RIZKY PRATOMO AJI 
2300015611;TRSF E-BANKING CR 0801/FTSCY/WS95031 384000.00 Jersey zora YANTY 
2300011864;TRSF E-BANKING CR 0801/FTSCY/WS95031 374910.00 N7101453 N7101454 YOVITA SUWITO 
2300015307;TRSF E-BANKING CR 0801/FTSCY/WS95011 683280.00 FM3dus od2/1 SHERLI/EVELYN YONA 
2300015307;TRSF E-BANKING CR 0801/FTSCY/WS95011 683280.00 FM3dus OD2/1 RENITA SUSILO 
2300015717;TRSF E-BANKING CR 0801/FTSCY/WS95011 455520.00 HANS KURNIAWAN DJA 
2300016043;TRSF E-BANKING CR 0801/FTSCY/WS95051 1972030.00 DISTRIBUTOR BAHAN 
2300016233;TRSF E-BANKING CR 0801/FTSCY/WS95271 455520.00 30 des Ciung coffe e SITI IMAS MASRUROH 
