btp;desc
2300009823;BI-FAST CR TRANSFER DR 002 WIDYAN AUFAR 
2300011289;BI-FAST CR TRANSFER DR 008 NOVA ANGGRAINI 
2300016092;BI-FAST CR TRANSFER DR 002 BULAN BINTOEN MATA 
2300015230;BI-FAST CR TRANSFER DR 535 YEREMIA 
DISTRIBUTOR GREENFIELDS;BI-FAST CR TRANSFER DR 022 CLASSIC FINE FOODS 
2300015149;BI-FAST CR TRANSFER DR 008 WANGSA SEQUOIA GRO 
2300016155;BI-FAST CR TRANSFER DR 013 RAFAE LAYETH SUUD 
2300015095;BI-FAST CR TRANSFER DR 008 ASTHA BUMI INDAH 
2300015095;BI-FAST CR TRANSFER DR 008 ASTHA BUMI INDAH 
2300018588;BI-FAST CR TRANSFER DR 501 Herlina. H. 
2300015477;BI-FAST CR TRANSFER DR 008 KUNTHI MULYAWATI 
2300008929;BI-FAST CR TRANSFER DR 008 JONARDY 
2300012106;BI-FAST CR TRANSFER DR 213 EVIELINA HERMAWATY 
2300010936;BI-FAST CR TRANSFER DR 022 KAKIATNA AGRO INDO 
2300010936;BI-FAST CR TRANSFER DR 022 KAKIATNA AGRO INDO 
2300012399;BI-FAST CR TRANSFER DR 022 TIGA KAWA MITRA 
2300011097;BI-FAST CR TRANSFER DR 022 KIRA KIRANA AKUSAR 
2300012940;BI-FAST CR TRANSFER DR 008 DESVINTA AZILIA SA 
2300015931;BI-FAST CR TRANSFER DR 028 ISYE FITRIYULIASTU 
2300015189;BI-FAST CR TRANSFER DR 002 MITRA DIANI BERSAM 
2300010936;BI-FAST CR TRANSFER DR 022 KAKIATNA AGRO INDO 
2300010936;BI-FAST CR TRANSFER DR 022 KAKIATNA AGRO INDO 
2300010936;BI-FAST CR TRANSFER DR 022 KAKIATNA AGRO INDO 
2300016215;BI-FAST CR TRANSFER DR 002 ACHMAD JUPRI 
2300016249;BI-FAST CR TRANSFER DR 008 TAFIA PUTRI S. RAM 
2300010687;BI-FAST CR TRANSFER DR 002 AGUNG PRASETYO 
2300015106;BI-FAST CR TRANSFER DR 002 NOVITASARI 
2300010936;BI-FAST CR TRANSFER DR 022 KAKIATNA AGRO INDO
2300010936;BI-FAST CR TRANSFER DR 022 KAKIATNA AGRO INDO
2300016328;BI-FAST CR TRANSFER DR 501 Bima Nugraha Kusum
2300016328;BI-FAST CR TRANSFER DR 501 Bima Nugraha Kusum
2300014697;BI-FAST CR TRANSFER DR 031 PT TRINUSA TRAVELI
2300015062;BI-FAST CR TRANSFER DR 008 MUTIA LAILI PAMAHA
2300012554;BI-FAST CR TRANSFER DR 008 SUMBER SELERA INDO
2300015477;BI-FAST CR TRANSFER DR 008 KUNTHI MULYAWATI
2300013666;BI-FAST CR TRANSFER DR 002 GITA DJOEANG SEJAH
2300016140;BI-FAST CR TRANSFER DR 009 THERESIA SUPARTINA 
2300014642;BI-FAST CR TRANSFER DR 542 VITA DIAN PUTRI 
2300013705;BI-FAST CR TRANSFER DR 002 HENDRICK CASIDY 
2300006392;BI-FAST CR TRANSFER DR 023 PRIMA GERAK KOTA,P
2300014642;BI-FAST CR TRANSFER DR 542 VITA DIAN PUTRI
2300008929;BI-FAST CR TRANSFER DR 008 JONARDY
2300014998;BI-FAST CR TRANSFER DR 008 RISA ESA NANDA PUT
2300016259;BI-FAST CR TRANSFER DR 008 HANA RIZKA EFRILIA
2300018181;BI-FAST CR TRANSFER DR 019 PERKASA MITRA CE
2300005715;BI-FAST CR TRANSFER DR 535 CORNELIA DEBRINA P
2300013595;BI-FAST CR TRANSFER DR 009 SUASANA KREATIF IN
2300013595;BI-FAST CR TRANSFER DR 009 SUASANA KREATIF IN
2300017676;BI-FAST CR TRANSFER DR 501 Kimberley Adonia G
