btp;desc
2300000541;KR OTOMATIS LLG-BNI AEROFOOD INDONESIA GREENFIELDS DAIRY |02 012024-15 
2300012930;KR OTOMATIS LLG-BNI LION SUPERINDO PT TXN1000330846 |10 00330846 
2300012930;KR OTOMATIS LLG-BNI LION SUPERINDO PT TXN1000335183 |10 00335183 
2300012171;KR OTOMATIS LLG-BNI SUDO BREW NARATAMA 
MODERN TRADE;KR OTOMATIS LLG-BNI JASA RUMAH SAKIT S 6990074 
2300000541;KR OTOMATIS LLG-BNI AEROFOOD INDONESIA GREENFIELDS DAIRY |04 012024-25 
2300012930;KR OTOMATIS LLG-BNI LION SUPERINDO PT TXN1000336071 |10 00336071 
2300012930;KR OTOMATIS LLG-BNI LION SUPERINDO PT TXN1000332966 |10 00332966 
MODERN TRADE;KR OTOMATIS LLG-BNI JASA RUMAH SAKIT S 7038104 
2300000541;KR OTOMATIS LLG-BNI AEROFOOD INDONESIA GREENFIELDS DAIRY |11 012024-25 
2300012930;KR OTOMATIS LLG-BNI LION SUPERINDO PT TXN1000336917 |10 00336917 
2300015975;KR OTOMATIS LLG-BNI RESKA MULTI USAHA PBY KP 01 170124 | 
2300000541;KR OTOMATIS LLG-BNI AEROFOOD INDONESIA GREENFIELDS DAIRY |18 012024-23 
2300015975;KR OTOMATIS LLG-BNI RESKA MULTI USAHA PBY KP 04 230124 |
MODERN TRADE;KR OTOMATIS LLG-BNI JASA RUMAH SAKIT S 390329
2300000541;KR OTOMATIS LLG-BNI AEROFOOD INDONESIA GREENFIELDS DAIRY |25 012024-25 
2300012930;KR OTOMATIS LLG-BNI LION SUPERINDO PT TXN1000339622 |10 00339622 
2300012930;KR OTOMATIS LLG-BNI LION SUPERINDO PT TXN1000339621 |10 00339621 
2300012930;KR OTOMATIS LLG-BNI LION SUPERINDO PT TXN1000337648 |10 00337648 
2300012930;KR OTOMATIS LLG-BNI LION SUPERINDO PT TXN1000337655 |10 00337655 
2300012930;KR OTOMATIS LLG-BNI LION SUPERINDO PT TXN1000337650 |10 00337650
2300000846;KR OTOMATIS LLG-BNI HOTEL ATLET CENTUR Payment Greenfield s Dairy Indonesia P - Century
2300000541;KR OTOMATIS LLG-BNI AEROFOOD INDONESIA GREENFIELDS DAIRY |01 022024-15
2300012930;KR OTOMATIS LLG-BNI LION SUPERINDO PT TXN1000340441 |10 00340441
