btp;desc
2300003094;KR OTOMATIS LLG-CIMB NIAGA CAHAYA SAKTI 0000006726 A000134 62 112923 B H550 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PUJI SURYA INDAH GF 
2300013043;KR OTOMATIS LLG-CIMB NIAGA ELANG ANDALAN NUSA EAN-5548 INV: 5222 354457 
2300009056;KR OTOMATIS LLG-CIMB NIAGA SYA SUKSES BERSAMA SEL 5222241378-41467 C L KMG 
2300000727;KR OTOMATIS LLG-CIMB NIAGA BAKTIABADI INTIMAK 
2300014826;KR OTOMATIS LLG-CIMB NIAGA ARGHA KARYA PRIMA KWT/GDI-INDO/2023/ 12/873281 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PUJI SURYA INDAH GF 
2300000727;KR OTOMATIS LLG-CIMB NIAGA BAKTIABADI INTIMAK 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PUJI SURYA INDAH GF
2300015911;KR OTOMATIS LLG-CIMB NIAGA UNITED MEDIA OR OF B2311-629 20240123 1667079897
2300000925;KR OTOMATIS LLG-CIMB NIAGA PRIMA ISMAYA SEJAH BILL009152005 BILL 005319001 
2300000168;KR OTOMATIS LLG-CIMB NIAGA SARI RASA NUSANTAR 2024000767-5222373 792 
2300015911;KR OTOMATIS LLG-CIMB NIAGA UNITED MEDIA OR OF B2311-048-F 202401 25649529812
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA ANUGRAH BERKAT AND
2300005696;KR OTOMATIS LLG-CIMB NIAGA MATAHARI PUTRA PRI 45423 202401251384 43661 
2300016045;KR OTOMATIS LLG-CIMB NIAGA KREASI ANUGRAH PRO NV1222444018/12224 60878 Stock Susu 2 024012527125 
2300009056;KR OTOMATIS LLG-CIMB NIAGA SYA SUKSES BERSAMA SEL 5222247741 PO 7010 CL KMG 
2300013747;KR OTOMATIS LLG-CIMB NIAGA BIONIC NATURA 222320627 20240125 659498017
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA ANUGRAH BERKAT AND 
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA SYA FRESH ONE 
2300015997;KR OTOMATIS LLG-CIMB NIAGA DEANDI PRIMOSAPUTE Invoice: N7089219 
2300015997;KR OTOMATIS LLG-CIMB NIAGA DEANDI PRIMOSAPUTE Invoice: N7116884 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-CIMB NIAGA PUJI SURYA INDAH GF 
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA JAKARTA SENTRA ARO FMGM 2024011215078 67611 
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA JAKARTA SENTRA ARO FMGM 2024011215078 67611 
MODERN TRADE;KR OTOMATIS LLG-CIMB NIAGA JAKARTA SENTRA ARO FMGM 2024011215078 67611 
2300008197;KR OTOMATIS LLG-CIMB NIAGA MENSANA ANEKA PROP AYMENT FROM AVENZE L HOTEL 2024011283 7697865 
2300015567;KR OTOMATIS LLG-CIMB NIAGA SYA KREASI BAHAN SEHAT Pb SG 10 Crt SJ 11 112022 No.N704740 5 
2300000727;KR OTOMATIS LLG-CIMB NIAGA BAKTIABADI INTIMAK 
2300013043;KR OTOMATIS LLG-CIMB NIAGA ELANG ANDALAN NUSA EAN-5582 INV: 5222 368698 
