btp;desc
2300007334;KR OTOMATIS LLG-CITIBANK PT TROUW NUTRITION 5222336673 
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR 
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010012233743187830 09034722 
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 000000000000000030 09035477
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200000397
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000168664 
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010000246628405930 09054264 
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222438784,5222438 7945222448356,5222 448367522244 
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000170165 
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000170537
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300012772;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010001244907693230 09062039
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010000246629941230 09060248
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000170658 
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200001931 
2300012772;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010005248408149830 09063651
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 011000246630285630 09060250
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 17-MAY-24,52224752 055222475206,52224 81032DN-06AP
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210045869/521004 8168/521004880612
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000170896
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000131671
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010006240905251830 09068582
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222481031,7-JUN-2 4
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000171124
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200002445
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200002597
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210055865/521005 6336/5210067125/5
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 000000000000000030 09071523
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000131920
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000171376
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200002669
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200002714
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5222465881/522246 61721224200001000
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5222465881/522246 61721224200001000
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200002805
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200002803
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000171484
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200002898
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004759
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222483006,5222483 008DN/LZD/VI/24/00 2
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200003092
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /52101090741224700 00100043
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 000000000000000030 09070742
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /52101086871224900 00100054
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010006244281368930 09075011
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200003353
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000171986
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000132262
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222483679,5224836 80DN-11-JUNE-GREEA ,DN-11-JUNE-
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200003521
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 000000000000000030 09075974
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222484844
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210095848/521009 6841/5210123740/5
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200003668
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222486198,5222486 2925222486390,5222 486391
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200003719
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200003738
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210135865/521013 58711225800001000
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222486941,5222486 9425222488266
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000172454
2300009205;KR OTOMATIS LLG-CITIBANK PT. MULTI BINTANG 2000132547
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200003908
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000172571
2300007334;KR OTOMATIS LLG-CITIBANK PT. TROUW NUTRITIO /5210152517/521015 26731226200001000
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004001
2300009205;KR OTOMATIS LLG-CITIBANK PT.MULTI BINTANG I 2000172705
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004191
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004293
2300015836;KR OTOMATIS LLG-CITIBANK PT GOTO SOLUSI NIA 010006247193496030 09077186
MODERN TRADE;KR OTOMATIS LLG-CITIBANK PT.RAMAYANA LESTAR
2300013789;KR OTOMATIS LLG-CITIBANK PT ECART SERVICES 5222488742,5222488 743
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004448
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004572
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004604
2300011371;KR OTOMATIS LLG-CITIBANK PT. NOVO NORDISK I 4054R1200004653
