btp;desc
2300015559;KR OTOMATIS LLG-DANAMON TEGUH SINAR ABADI` INVOICE NO N705954 9 550 N6787598 N67 95863 N68048684294 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENFIELDS INV 60 834 60835 PCM00530 61777 
2300017120;KR OTOMATIS LLG-DANAMON AMERICAN EMBASSY C Fresh Milk Kw 8726 23 878830 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 6 84-452 PCM00530617 77
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 2 408-4346 PCM005306 1777 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS DAIRY ID INV 9044 5089 PCM005306177 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WASEL 0584 PCM 0053061777 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT WASEL 0619 PCM0053 061777 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777 
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PT_013602_GREENFIE LDS NUMBER M739435 6_PT GREENFI 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT AF-BI BPN PCM0053061777 
2300017120;KR OTOMATIS LLG-DANAMON AMERICAN EMBASSY C Fresh Milk Kw 9138 46 917141 913370
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 1 210 1211 PCM005306 1777 
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WASEL 0622 PCM 0053061777
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PEMBAYARAN GREENFI LEDS INV 87425529 PCM005306177 
2300016321;KR OTOMATIS LLG-DANAMON DERMAGA PERKASAPRA INVOICE NO 5222386 925 9357 94275 980 94
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WASEL 0625 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 1212 1130 1133 1136 7996 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS DAIRY ID INV 1652 1654 1656 PCM0053
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WASEL 0636 PCM 0053061777
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PT_013602_INV 1210 070481_PT GREENFI PCM005306177
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 5 222471653 PCM00530 61777
2300017120;KR OTOMATIS LLG-DANAMON AMERICAN EMBASSY C Fresh Milk Kw 9222 57
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US GREENFIELDS INV N7 571426 PCM00530617 77
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0642 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0643 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0653 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENFIELDS INV 25 8 305 303 PCM00530 61777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 2 301 2297 PCM005306 1777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 3 057 3058 3059 3060 3777 PCM005
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS DAIRY ID INV 3903 3904 PCM005306177
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WASEL 0671 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS DAIRY INV 483884 PCM005 3061777
2300017120;KR OTOMATIS LLG-DANAMON AMERICAN EMBASSY C Kw 964008 961761 9 58581 957671957672 952804 9477
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0678 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 2 85 266 267 PCM0053 061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 4 416 4417 4418 PCM0 053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0686 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0687 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS DAIRY ID INV 5222485346 PCM00530617
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PT_013602_PO 24072 4-KOPKARDAN_PT GRE ENFI PCM0053
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 5 222485348 PCM00530 61777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENFIELDS INV AG T 24
2300017120;KR OTOMATIS LLG-DANAMON AMERICAN EMBASSY C Fresh Milk Kw 9805 16 978807 971801 9 69807 969806
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 4 02 870 671
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PT_013602_PEMBELIA N GREENFIELDS KKD MBD _PT GREE
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 5222486301
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PT PULAU BARU JAYA PT PULAU BARU JAYA
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PT PULAU BARU JAYA PT PULAU BARU JAYA
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PT_013602_PEMBELIA N SUSU GREENFIELDS U KOPI KKD 1777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 7249 6236
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0714 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0713 PCM 0053061777
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PT_013602_SUSU KOP I KKD INV S/O NUMB ER 1210178101777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 6 80 681 682 173 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0723 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0722 PCM 0053061777
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PT_013602_SUSU GRE ENFIELD KKD MBD P/ O HANS-030921777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PT_013602_SUSU U K OPI KKD IN V S/O N UMBER 1210191777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 112348
2300017120;KR OTOMATIS LLG-DANAMON AMERICAN EMBASSY C Fresh Milk Kw 9968 89 995077 991957 9 88537 987129
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PT_013602_SUSU GRE ENFIELD KKD MBD SO NUMBER 12101777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PCM0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0731 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0738 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0737 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 6 19 620 621 PCM0053 061777
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PT_013602_SUSU KAN TIN INV S/O NUMBER 1210206285_77
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0740 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0739 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 1 41-145 PCM00530617 77
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 463-467
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0749 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GREENDFIELDS INV 4 68 469
2300017120;KR OTOMATIS LLG-DANAMON AMERICAN EMBASSY C Fresh Milk Kw 1003 846 10078251009929
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PT PULAU BARU JAYA Outgoing Payment I nitiation (CASH)
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PT PULAU BARU JAYA Outgoing Payment I nitiation (CASH)
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 885-1327 P CM0053061777
2300016443;KR OTOMATIS LLG-DANAMON KOPKARDAN POKOK US PT_013602_SUSU GF KOPI KKD SO/NUMB 1 210230093_PT
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0764 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0763 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 106-110
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0776 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0775 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 445 447 95 1 PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 92695 9269 6 PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0787 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0786 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON ANUGRAH BERKAT AND PCM0053061777
2300017120;KR OTOMATIS LLG-DANAMON AMERICAN EMBASSY C Fresh Milk Kw 1020 122 10162331013575
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0794 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0793 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 049 277 27 8 3048
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0804 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0803 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON BARU INDAH`PT BYR FKT GF-BI BPN PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV NOV 2024 P CM0053061777
2300015177;KR OTOMATIS LLG-DANAMON PANDA INDO TUNGGAL Outgoing Payment T ransaction(Initiat ion)
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0814 PCM 0053008663
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0813 PCM 0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 5222493675 PCM0053061777
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON TIGARAKSA SATRIA T GDI INV 52224948
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-DANAMON PULAUBARU JAYA`PT PBJ WESEL 0821 PCM 0053008663
