btp;desc
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Dec23 Milk 
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Dec23 Milk 
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI KWT/GDI-INDO/2024/ 01885566, KWT/GDI- INDO/2024/01 
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Jan24 Milk 
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI INV : 5222361265 
2300008312;KR OTOMATIS LLG-DBS INDONESIA CAFFEINE SOLUTIONS KWT/GDI-INDO/2023/ 12/879001 
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mar24 Milk 
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mar24 Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mar24 Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mar24 Milk
2300008312;KR OTOMATIS LLG-DBS INDONESIA CAFFEINE SOLUTIONS KWT/GDI-INDO/2024/ 04/92250
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Apr24 Milk
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI KWT/GDI-INDO/2024/ 04/922657
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mei24 Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mei24 Milk
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI KWT/GDI-INDO/2024/ 05/936780
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mei24 Milk
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI INV : 5210076717
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mei24 Milk
2300008312;KR OTOMATIS LLG-DBS INDONESIA CAFFEINE SOLUTIONS 5210070597
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mei24 Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mei24- Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mei24 Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Mei24- Milk
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI KWT/GDI-INDO/2024/ 07/961589
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Jul24 - Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Jul24 Milk
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI KWT/GDI-INDO/2024/ 07/967456, KWT/GDI -INDO/2024/0
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Jul24 Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Aug24 Milk
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI INV : 5210150167
2300012427;"KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA
Inv Aug24- Milk 240830001227035059"
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Aug24 Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Sept Milk
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI KWT1003672 TGL 27/ 08/24, KWT1000414 TGL 04/09/24
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Sept24 - Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Sept24Milk
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI KWT/GDI-INDO/2024/ 09/1007478
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Oct24 Milk
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI K002000052071 TGL 24/09/24
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Oct 24 Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Oct24 - Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Oct24 - Milk
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI KWT/GDI-INDO/2024/ 10/931262, 1015209 , 1019484
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Oct24 - Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Nov24 - Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Nov24 - Milk
2300004616;KR OTOMATIS LLG-DBS INDONESIA CITRA HASMORE KULI INV : 5210240196
2300008312;KR OTOMATIS LLG-DBS INDONESIA CAFFEINE SOLUTIONS KWT/GDI-INDO/2024/ 11/1024867
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Nov24 - Milk
2300012427;KR OTOMATIS LLG-DBS INDONESIA CERIA JUSINDO NUSA Inv Dec24 - Milk
