btp;desc
2300010748;KR OTOMATIS LLG-HSBC INDONESIA PT AMERTA INDAH OT 3300000508 * KWT/G DI/872670 KWT/GDI/ 876984 
2300001682;KR OTOMATIS LLG-HSBC INDONESIA PT SARI PIZZA INDO GF MILK TT 874196 
2300001531;KR OTOMATIS LLG-HSBC INDONESIA YAYASAN BRITISH SC 5222346076, 522235 6225 * 5222361747 
MODERN TRADE;KR OTOMATIS LLG-HSBC INDONESIA PT LULU GROUP RETA PYMT DEC30
2300000970;KR OTOMATIS LLG-HSBC INDONESIA PT SARI ICECREAM I GF MILK
2300007215;KR OTOMATIS LLG-HSBC INDONESIA HADIPUTRANTO HADIN 5222353466
2300010748;KR OTOMATIS LLG-HSBC INDONESIA PT AMERTA INDAH OT 3300001746 * KWT/2 3/12/87976
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. SUSU
2300000970;KR OTOMATIS LLG-HSBC INDONESIA PT SARI ICECREAM I GF MILK 
2300000970;KR OTOMATIS LLG-HSBC INDONESIA PT SARI ICECREAM I GF MILK 
2300010748;KR OTOMATIS LLG-HSBC INDONESIA PT AMERTA INDAH OT 3300001324 * KWT/1 2/877664 
2300001682;KR OTOMATIS LLG-HSBC INDONESIA PT SARI PIZZA INDO PT GREENFIELDS DAI RY INDONESIA|4506 
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. SUSU 
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. SUSU 
2300010748;KR OTOMATIS LLG-HSBC INDONESIA PT AMERTA INDAH OT 3300000674 * KWT/1 1/863441 
2300016408;KR OTOMATIS LLG-HSBC INDONESIA PT BLUM FURNITURE 2000000339 * NO.N6 952621/23.11.2023N O.M7022771/111.1.2
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND G/F MILK JABODETAB EK 
2300001682;KR OTOMATIS LLG-HSBC INDONESIA PT SARI PIZZA INDO PT GREENFIELDS DAI RY INDONESIA|4506 
2300006653;KR OTOMATIS LLG-HSBC INDONESIA PT BUMI BERKAH BOG 
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. SUSU 
2300001682;KR OTOMATIS LLG-HSBC INDONESIA PT SARI PIZZA INDO PT GREENFIELDS DAI RY INDONESIA|4506 
2300000923;KR OTOMATIS LLG-HSBC INDONESIA PT PREMIER DOUGHNU PT GREENFIELDS DAI RY INDONESIA|4506
MODERN TRADE;KR OTOMATIS LLG-HSBC INDONESIA PT LULU GROUP RETA
2300000970;KR OTOMATIS LLG-HSBC INDONESIA PT SARI ICECREAM I PT GREENFIELDS DAI RY INDONESIA|4506
2300000970;KR OTOMATIS LLG-HSBC INDONESIA PT SARI ICECREAM I PT GREENFIELDS DAI RY INDONESIA|4506
2300000970;KR OTOMATIS LLG-HSBC INDONESIA PT SARI ICECREAM I PT GREENFIELDS DAI RY INDONESIA|4506
2300001531;KR OTOMATIS LLG-HSBC INDONESIA YAYASAN BRITISH SC KWT/GDI-INDO/2024/ 03/915818 * KWT/GD I-INDO/2024/ 
2300003940;KR OTOMATIS LLG-HSBC INDONESIA PT PANGANSARI UTAM 
2300007215;KR OTOMATIS LLG-HSBC INDONESIA HADIPUTRANTO HADIN 5222440681-5222450 125
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND G/F MILK JABODETAB EK
2300006653;KR OTOMATIS LLG-HSBC INDONESIA PT BUMI BERKAH BOG
2300010748;KR OTOMATIS LLG-HSBC INDONESIA PT AMERTA INDAH OT 3300008247 * KWT/2 4/4/923919
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. SUSU
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. SUSU
2300016711;KR OTOMATIS LLG-HSBC INDONESIA PT PRETZELINDO SUK UHT GREENFIELDS
2300006653;KR OTOMATIS LLG-HSBC INDONESIA PT BUMI BERKAH BOG
2300016408;KR OTOMATIS LLG-HSBC INDONESIA PT BLUM FURNITURE 2000000535 * NO.N7 418069/16.4.2024
2300000970;KR OTOMATIS LLG-HSBC INDONESIA PT SARI ICECREAM I PT GREENFIELDS DAI RY INDONESIA|4506
2300000923;KR OTOMATIS LLG-HSBC INDONESIA PT PREMIER DOUGHNU PT GREENFIELDS DAI RY INDONESIA|4506
2300000923;KR OTOMATIS LLG-HSBC INDONESIA PT PREMIER DOUGHNU GF MILK TT 929486
MODERN TRADE;KR OTOMATIS LLG-HSBC INDONESIA PT LULU GROUP RETA
2300007215;KR OTOMATIS LLG-HSBC INDONESIA HADIPUTRANTO HADIN 5222463020 - 52247 5365 
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. SUSU
2300001682;KR OTOMATIS LLG-HSBC INDONESIA PT SARI PIZZA INDO GF MILK TT 929483
2300001682;KR OTOMATIS LLG-HSBC INDONESIA PT SARI PIZZA INDO PT GREENFIELDS DAI RY INDONESIA|4506
2300006653;KR OTOMATIS LLG-HSBC INDONESIA PT BUMI BERKAH BOG
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND PT GREENFIELDS DAI RY INDONESIA
2300016711;KR OTOMATIS LLG-HSBC INDONESIA PT PRETZELINDO SUK UHT GREENFIELDS
MODERN TRADE;KR OTOMATIS LLG-HSBC INDONESIA PT LULU GROUP RETA
2300016408;KR OTOMATIS LLG-HSBC INDONESIA PT BLUM FURNITURE 2000000551 * NO.H7 486571/6.5.2024
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND PT GREENFIELDS DAI RY INDONESIA
2300000970;KR OTOMATIS LLG-HSBC INDONESIA PT SARI ICECREAM I GF MILK TT 919591
2300001531;KR OTOMATIS LLG-HSBC INDONESIA YAYASAN BRITISH SC 5222479409, 521004 8917
2300006653;KR OTOMATIS LLG-HSBC INDONESIA PT BUMI BERKAH BOG
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND GF MILK TT 929472
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND G/F MILK JABODETAB EK
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND G/F MILK JABODETAB EK
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND G/F MILK JABODETAB EK
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND G/F MILK JABODETAB EK
2300010748;KR OTOMATIS LLG-HSBC INDONESIA PT AMERTA INDAH OT 3300010730 * KWT/2 4/05/932222 KWT/24 /05/983800
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. SUSU
2300006653;KR OTOMATIS LLG-HSBC INDONESIA PT BUMI BERKAH BOG
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-HSBC INDONESIA PT CATUR SENTOSA A
2300007215;KR OTOMATIS LLG-HSBC INDONESIA HADIPUTRANTO HADIN 5210044143
MODERN TRADE;KR OTOMATIS LLG-HSBC INDONESIA PT LULU GROUP RETA PYMT MAY 30
MODERN TRADE;KR OTOMATIS LLG-HSBC INDONESIA PT LULU GROUP RETA PYMT MAY 30
2300006653;KR OTOMATIS LLG-HSBC INDONESIA PT BUMI BERKAH BOG
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-HSBC INDONESIA PT CATUR SENTOSA A
2300010748;KR OTOMATIS LLG-HSBC INDONESIA PT AMERTA INDAH OT 3300011393 * KWT/2 4/05/937473
2300001531;KR OTOMATIS LLG-HSBC INDONESIA YAYASAN BRITISH SC 2024/06/936692
2300000923;KR OTOMATIS LLG-HSBC INDONESIA PT PREMIER DOUGHNU GF MILK TT 933380
2300001682;KR OTOMATIS LLG-HSBC INDONESIA PT SARI PIZZA INDO GF MILK TT 930672
2300000970;KR OTOMATIS LLG-HSBC INDONESIA PT SARI ICECREAM I GF MILK TT 930670
2300016408;KR OTOMATIS LLG-HSBC INDONESIA PT BLUM FURNITURE 2000000596 * NO.N7 537833/21.5.2024NO .N7575534/3.
2300016711;KR OTOMATIS LLG-HSBC INDONESIA PT PRETZELINDO SUK UHT GREENFIELD
2300007215;KR OTOMATIS LLG-HSBC INDONESIA HADIPUTRANTO HADIN 5210060881
2300001682;KR OTOMATIS LLG-HSBC INDONESIA PT SARI PIZZA INDO PT GREENFIELDS DAI RY INDONESIA|4506
2300000970;KR OTOMATIS LLG-HSBC INDONESIA PT SARI ICECREAM I PT GREENFIELDS DAI RY INDONESIA|4506
2300000923;KR OTOMATIS LLG-HSBC INDONESIA PT PREMIER DOUGHNU PT GREENFIELDS DAI RY INDONESIA|4506
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. SUSU
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND GF MILK PT GREENFI ELDS INDONESIA JO
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND G/F MILK JABODETAB EK
2300001682;KR OTOMATIS LLG-HSBC INDONESIA PT SARI PIZZA INDO PT GREENFIELDS IND ONESIA|4506753834
2300010748;KR OTOMATIS LLG-HSBC INDONESIA PT AMERTA INDAH OT 3300011894 * KWT/2 4/05/940648 KWT/24 /05/943316
2300001682;KR OTOMATIS LLG-HSBC INDONESIA PT SARI PIZZA INDO PT GREENFIELDS DAI RY INDONESIA|4506
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. SUSU
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND GF MILK PT GREENFI ELDS INDONESIA
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. MILK
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB. SUSU
2300016792;KR OTOMATIS LLG-HSBC INDONESIA PT BUHLER INDONESI 3 INVOICE
2300007215;KR OTOMATIS LLG-HSBC INDONESIA HADIPUTRANTO HADIN 5210066499 521005 1807
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND PT GREENFIELDS IND ONESIA GF MILK
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND PT GREENFIELDS IND ONESIA|4506736539
2300007215;KR OTOMATIS LLG-HSBC INDONESIA HADIPUTRANTO HADIN 5210074175
2300007215;KR OTOMATIS LLG-HSBC INDONESIA HADIPUTRANTO HADIN 5210096604
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-HSBC INDONESIA PT CATUR SENTOSA A
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND G/F MILK JABODETAB EK
2300007215;KR OTOMATIS LLG-HSBC INDONESIA HADIPUTRANTO HADIN 521009068 - 521008 2580
2300001531;KR OTOMATIS LLG-HSBC INDONESIA YAYASAN BRITISH SC 2024/05/943262, 20 24/06/946860
2300003940;KR OTOMATIS LLG-HSBC INDONESIA PT PANGANSARI UTAM
2300000970;KR OTOMATIS LLG-HSBC INDONESIA PT SARI ICECREAM I GREENFIELDS INDONE SIA|4506780771|45
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND GF MILK TT 936205
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-HSBC INDONESIA PT CATUR SENTOSA A
2300016711;KR OTOMATIS LLG-HSBC INDONESIA PT PRETZELINDO SUK UHT GREENFIELD
MODERN TRADE;KR OTOMATIS LLG-HSBC INDONESIA PT LULU GROUP RETA PYMNET 08.07.2024
MODERN TRADE;KR OTOMATIS LLG-HSBC INDONESIA PT LULU GROUP RETA PYMNET 08.07.2024
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-HSBC INDONESIA PT CATUR SENTOSA A
2300000923;KR OTOMATIS LLG-HSBC INDONESIA PT PREMIER DOUGHNU PT GREENFIELDS IND ONESIA|4506747166
2300003860;KR OTOMATIS LLG-HSBC INDONESIA PT SARI FOOD LESTA PEMB MILK
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND PT GREENFIELDS IND ONESIA|4506776607
2300016711;KR OTOMATIS LLG-HSBC INDONESIA PT PRETZELINDO SUK UHT GREENFIELD
2300016711;KR OTOMATIS LLG-HSBC INDONESIA PT PRETZELINDO SUK UHT GREENFIELD
2300016711;KR OTOMATIS LLG-HSBC INDONESIA PT PRETZELINDO SUK UHT GREENFIELD
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND G/F MILK JABODETAB EK
2300016792;KR OTOMATIS LLG-HSBC INDONESIA PT BUHLER INDONESI KWT959540
2300001334;KR OTOMATIS LLG-HSBC INDONESIA PT SARI COFFEE IND PT GREENFIELDS IND ONESIA|4506776242
2300001682;KR OTOMATIS LLG-HSBC INDONESIA PT SARI PIZZA INDO GF MILK TT 946599
