btp;desc
DISTRIBUTOR GREENFIELDS;KR OTOMATIS LLG-MANDIRI INTAN SUKSES INSPI Pt isi pdg -0053061 
2300012084;KR OTOMATIS LLG-MANDIRI SMART FOOD CONCEPT -0053061777 Clearing947991 
2300005019;KR OTOMATIS LLG-MANDIRI SRIBOGA MARUGAME I TTF 030035 -0053061 
2300012044;KR OTOMATIS LLG-MANDIRI DIPURI SELARAS MEM Susu Green Fields -0053061 
2300015404;KR OTOMATIS LLG-MANDIRI SAKSI-SAKSI YEHUWA SSYI 
2300015092;KR OTOMATIS LLG-MANDIRI RAJASA INTAMA greenfields -0053061 
2300015135;KR OTOMATIS LLG-MANDIRI MENSA JAKARTA N7077936 N7072720 -0053061 
2300001305;KR OTOMATIS LLG-MANDIRI RAJA RASA ALAMI Beli FM T231214PB005 -0053061 
2300001305;KR OTOMATIS LLG-MANDIRI RAJA RASA ALAMI Beli FM 5222311423 T231214PB006 -0053061 
2300012084;KR OTOMATIS LLG-MANDIRI SMART FOOD CONCEPT -0053061777 Clearing710989 
2300004485;KR OTOMATIS LLG-MANDIRI ARTHA KENCANA MAND N7072196, N7002011 , -0053061 
2300015495;KR OTOMATIS LLG-MANDIRI CERITA RASA KITA JERSEY N7026954 -0053061 
2300015495;KR OTOMATIS LLG-MANDIRI CERITA RASA KITA JERSEY N7043456 -0053061 
2300015495;KR OTOMATIS LLG-MANDIRI CERITA RASA KITA JERSEY N7018254 -0053061 
2300008157;KR OTOMATIS LLG-MANDIRI TALENTA PACKAGING -0053061777 Clearing926619 
2300012044;KR OTOMATIS LLG-MANDIRI DIPURI SELARAS MEM Susu Green Fields -0053061 
MODERN TRADE;KR OTOMATIS LLG-MANDIRI LUCKY STRATEGIS GRANDLUCKY SCBD 
MODERN TRADE;KR OTOMATIS LLG-MANDIRI LUCKY STRATEGIS GRANDLUCKY SCBD 
2300001305;KR OTOMATIS LLG-MANDIRI RAJA RASA ALAMI Beli FM 5222348127 T231214PB008 -0053061 
2300001305;KR OTOMATIS LLG-MANDIRI RAJA RASA ALAMI Beli FM 5222341293 T231214PB007 -0053061 
2300005019;KR OTOMATIS LLG-MANDIRI SRIBOGA MARUGAME I TTF 025790 -0053061 
2300005019;KR OTOMATIS LLG-MANDIRI SRIBOGA MARUGAME I TTF 040357 -0053061 
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 28194-P GY48054292-MT-1 2.4 -0053061 
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 28193/95/98-P GY48054238-MT-1 2.18-0053061 
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 28196/99-P GY48054248-MT-1 2.9 -0053061 
MODERN TRADE;KR OTOMATIS LLG-MANDIRI MAHADANA DASHA UTA VDRTHIRD 
2300013873;KR OTOMATIS LLG-MANDIRI INDO MAINT KARYA U IRNSDT.231200004 
2300004435;KR OTOMATIS LLG-MANDIRI AROMA HARUM LESTAR PT AROMA -0053061 
2300015495;KR OTOMATIS LLG-MANDIRI CERITA RASA KITA MILK JERSEY N70731 34 -0053061 
2300015495;KR OTOMATIS LLG-MANDIRI CERITA RASA KITA MILK JERSEY N70542 02 -0053061 
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 18484 GY48054448-MT-1 2.17-0053061 
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 28120-P GY48054446-MT-2 0.12-0053061 
2300001162;KR OTOMATIS LLG-MANDIRI GELAEL SUPERMARKET 28121 GY48054450-MT.1 2.30-0053061 
2300015092;KR OTOMATIS LLG-MANDIRI RAJASA INTAMA greenfields -0053061 
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY BERSAMA 
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY BERSAMA 
2300012044;KR OTOMATIS LLG-MANDIRI DIPURI SELARAS MEM Susu Green Fields -0053061 
MODERN TRADE;KR OTOMATIS LLG-MANDIRI HOKKY TE IT 
