btp;desc
2300001043;"KR OTOMATIS LLG-MEGA TRANS COFFEE CBTL/KWT/GDI-INDO/ 2023/11/858812;858 214;854389;8 "
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/22/SS/24/01/01 4 
2300001043;"KR OTOMATIS LLG-MEGA TRANS COFFEE CBTL/KWT/GDI-INDO/ 2023/11/870950;868 721;868718;8"
2300001043;"KR OTOMATIS LLG-MEGA TRANS COFFEE CBTL/KWT/GDI-INDO/ 2023/12/877830;877 407;876711;8"
2300001043;"KR OTOMATIS LLG-MEGA TRANS COFFEE CBTL/KWT/GDI-INDO/ 01/881287;882187;8 81554;882147"
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/13/SS/24/02/04 5
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/13/SS/24/02/06 7
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR SUPPLIER BAR/3 /SS/24/02/071
2300001043;"KR OTOMATIS LLG-MEGA TRANS COFFEE CBTL/KWT/GDI-INDO/ 2024/01/8881536;21 2;151;678;67"
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/21/SS/24/02/09 8 
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000391715
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/25/SS/24/03/09 2
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000392981 
2300011668;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR SUPPLIER BAR/5 /SS//24/04/027
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/20/SS/24/04/06 0 
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000394056 
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000394410
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/15/SS/24/04/08 7
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000395579
2300016758;KR OTOMATIS LLG-MEGA SUSPEN INCOMING TR KWT GDI INDO 2024 04 922635
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/20/SS/24/06/06 4
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/20/SS/24/06/06 4
2300017098;KR OTOMATIS LLG-MEGA TAMAN HIBURAN CIBU EVENT HARI SUSU NA SIONAL(SK)
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR SUPPLIER BAR/7 /SS/24/07/019
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/13/SS/24/07/04 1
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000399684
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/20/SS/24/07/12 8
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/20/SS/24/07/12 8
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/23/S/24/08/011
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/23/S/24/08/011
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000401185
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/20/SS/24/08/08 4
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR SUPPLIER BAR/3 /SS/24/09/039
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B BYR SUPPLIER BAR/S S/24/09/044
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000402887
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/19/SS/24/09/07 3
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/19/SS/24/09/07 3
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/19/SS/24/09/07 3
2300001043;KR OTOMATIS LLG-MEGA TRANS COFFEE SBTL/KWT/GDI-INDO/ 2024/01/889302
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/13/SS/24/10/05 9
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/18/S/24/10/087
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/18/S/24/10/087
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/20/S/24/11/004
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/20/S/24/11/004
2300001043;KR OTOMATIS LLG-MEGA TRANS COFFEE CBTL/KWT/GDI-INDO/ 2024/01/892080(SK)
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR SUPPLIER BAR/3 /SS/24/11/036
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/17/SS/24/11/06 3
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/17/SS/24/11/06 3
2300001043;KR OTOMATIS LLG-MEGA TRANS COFFEE CBTL/KWT/GDI-INDO/ 2024/02/903842
2300013577;KR OTOMATIS LLG-MEGA SUSPEN HUB CIKINI BYR KONSUMSI TRANS FER/20/SS/24/12/05 0
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000407005
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000406941
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000407987
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000407923
2300001043;KR OTOMATIS LLG-MEGA TRANS COFFEE CBTL/KWT/GDI-INDO/ 2024/894120(SK)
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT. GREENFIELDS IN DONESIA
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT. GREENFIELDS IN DONESIA
2300001043;KR OTOMATIS LLG-MEGA TRANS COFFEE CBTL/KWT/GDI-INDO/ 2024/02/895643
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT. GREENFIELDS IN DONESIA
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT. GREENFIELDS IN DONESIA
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT GREENFIELDS IND ONESIA
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT GREENFIELDS IND ONESIA
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT GREENFIELDS IND ONESIA
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT GREENFIELDS IND ONESIA
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000416713
2300010187;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT GREENFIELDS IND ONESIA
2300001044;KR OTOMATIS LLG-MEGA TRANS RETAIL IND 0000417982
2300010187;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT GREENFIELDS IND ONESIA
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT GREENFIELDS IND ONESIA
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B PT GREENFIELDS IND ONESIA
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B 101
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B 101
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B 106
2300011668;KR OTOMATIS LLG-MEGA KOPERASI PEGAWAI B 106
