btp;desc
2300015542;KR OTOMATIS LLG-SINARMAS KREASI RETAIL NUSA Green 28 
2300015542;KR OTOMATIS LLG-SINARMAS KREASI RETAIL NUSA Green 27 
2300015542;KR OTOMATIS LLG-SINARMAS KREASI RETAIL NUSA Green 172 
2300015542;KR OTOMATIS LLG-SINARMAS KREASI RETAIL NUSA Green 171 
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N PT GREENFIELDS DAI RY 
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N PT GREENFIELDS DAI RY 
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N PT GREENFIELDS DAI RY
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N PT GREENFIELDS DAI RY
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N PT GREENFIELDS DAI RY
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N PT GREENFIELDS DAI RY
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N PT GREENFIELDS DAI RY
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N PT GREENFIELDS DAI RY
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 31/7/24
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 8/7/24
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 8/7/24
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N7838442
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N7838408
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 28/8/24
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 28/8/24
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N7906185
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N7933741
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 11/9/24
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 4/9/24
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8010133
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 19/9/24
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 19/9/24
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8019241
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 15/10/24
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 15/10/24
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8088378
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 5210242031
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 5210239418
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 5210239522
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8119871
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8119855
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY K00200068283
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8154417
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 14/11/24
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 14/11/24
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012486578
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012486578
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8277043
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012501742
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8297990
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012504101
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8391192
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8382917
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8382916
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8416292
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8433788
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8433773
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 15/1/25
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 15/1/25
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8472246
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012511381
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012511381
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8488269
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8492992
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012512519 
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8510649 8506045
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8532168
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N602144
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8602123
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012516250
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012516250
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012516250
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8615705
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012516524
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012516524
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8651814
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8665792
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8689151
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8704200
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012522116
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012522116
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8744231
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N879047
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012525224
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012525224
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012525763
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012525763
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012525763
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8771288
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012528003
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012528003
2300010189;KR OTOMATIS LLG-SINARMAS CARISSA HILLARY N8811494
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 5210440939
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N 5210441224
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012535644
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012535644
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012536039
2300015542;KR OTOMATIS LLG-SINARMAS PT KREASI RETAIL N SMKRN0012536039
2300010061;KR OTOMATIS LLG-SINARMAS PT WAPINDO JASAART SMEDC0012500379
2300010061;KR OTOMATIS LLG-SINARMAS PT WAPINDO JASAART SMEDC0012500390
