btp;desc
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, GRENFIELD 1NOTA 3/ 12/23 GRN40363 
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, GREENFIELDS DAIRY 11/12/23 GRN404417 009414 
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV57805
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV1118
2300000951;KR OTOMATIS LLG-UOB INDONESIA CENTRAL REZEKI COL TAGIHAN 15 JULI 20 24
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT. GREENFIELDS IN DONESIA 5 210117576 GR521011
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P NO954 265
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV3409
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS IND ONESIA 5210149423G RN 46942 PRT6940 3
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV0529
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS IND ONESIA 5210196909G RN 47892 PRT7891 3
2300017595;KR OTOMATIS LLG-UOB INDONESIA HENDRA TANAYA SARINANDE NOTA 180 92024
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS IND ONESIA N7956927N79 56926 GRN 484
2300017595;KR OTOMATIS LLG-UOB INDONESIA HENDRA TANAYA SARINANDE NOTA 301 02024
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P 507
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P 8897
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS IND ONESIA 52102460765 210246126 GR0858 1
MODERN TRADE;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS IND ONESIA 52102707765 210271012 GR6/12/2
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV 2943
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV 0278
MODERN TRADE;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS IND ONESIA 52103174955 210317580 GR0896 2
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV 6375
MODERN TRADE;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS IND ONESIA 52103612325 210361476 GR0923 1
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV 4465
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS IND ONESIA 5210397001G RN 54453 PRT
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS IND ONESIA 52104199235 210420203 GR25
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P 1076040 ATAU 5018
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS IND ONESIA 5210447560G RN 55943 PRT
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P inv 15490 11942
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P inv 7668
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV 2263
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV 1745
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS IND ONESIA 52107804652 10478227 GRN986 16
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV 5295 ATAU NO T .TERIMA 1117146
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P INV18012024
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS GR N42296 4229716/2/2 4 821 825
2300006392;KR OTOMATIS LLG-UOB INDONESIA PRIMA GERAK KOTA,P NO966 538 
2300013049;KR OTOMATIS LLG-UOB INDONESIA EMPU ANEKA PANGAN, PT GREENFIELDS DAI RY I GRN40897 2 6/12/23
