btp;desc
2300018579;KR OTOMATIS LLG-WOORI SAUDARA KYUNGSUNG INDO JAY
2300018579;KR OTOMATIS LLG-WOORI SAUDARA KYUNGSUNG INDO JAY
2300018579;KR OTOMATIS LLG-WOORI SAUDARA KYUNGSUNG INDO JAY INV 1115635
2300018579;KR OTOMATIS LLG-WOORI SAUDARA KYUNGSUNG INDO JAY BT PEMB INV 111096 1
2300018579;KR OTOMATIS LLG-WOORI SAUDARA KYUNGSUNG INDO JAY
2300018579;KR OTOMATIS LLG-WOORI SAUDARA KYUNGSUNG INDO JAY
2300018579;KR OTOMATIS LLG-WOORI SAUDARA KYUNGSUNG INDO JAY
2300017287;KR OTOMATIS LLG-WOORI SAUDARA PT CAHAYA TERANG S
2300017287;KR OTOMATIS LLG-WOORI SAUDARA PT CAHAYA TERANG S
2300017287;KR OTOMATIS LLG-WOORI SAUDARA PT CAHAYA TERANG S
2300017287;KR OTOMATIS LLG-WOORI SAUDARA PT CAHAYA TERANG S
